iter	Accuracy	MultiClass
0	0.6697083333	1.523081361
1	0.6697083333	1.449325928
2	0.6697083333	1.385281054
3	0.6697083333	1.328926476
4	0.6697083333	1.278870545
5	0.6697083333	1.234031038
6	0.6697083333	1.193537741
7	0.6697083333	1.156832609
8	0.6697083333	1.123383143
9	0.6697083333	1.092806769
10	0.6697083333	1.064738987
11	0.6697083333	1.03868993
12	0.6697083333	1.01487415
13	0.6697083333	0.9928147222
14	0.6697083333	0.9723457588
15	0.6697083333	0.9531600415
16	0.6697083333	0.9354853537
17	0.6697083333	0.91900579
18	0.6697083333	0.9036528474
19	0.6697083333	0.889107036
20	0.6697083333	0.8756672053
21	0.6697083333	0.8629746377
22	0.6697083333	0.8511800266
23	0.6697083333	0.8401178022
24	0.6697083333	0.829734133
25	0.6697083333	0.8198578663
26	0.6697083333	0.8106922012
27	0.6697083333	0.8019742708
28	0.6697083333	0.7938522289
29	0.6697083333	0.7862141243
30	0.6697083333	0.7790078543
31	0.6697083333	0.7722234796
32	0.6697083333	0.7658289275
33	0.6697083333	0.7596854038
34	0.6697083333	0.7539808349
35	0.6697083333	0.748595297
36	0.6697083333	0.7435203456
37	0.6697083333	0.7386340719
38	0.6697083333	0.7340053454
39	0.6697083333	0.7297221065
40	0.6697083333	0.7256096733
41	0.6697083333	0.7217155093
42	0.6697083333	0.7180788503
43	0.6697083333	0.714587452
44	0.6697083333	0.7112920777
45	0.6697083333	0.708211141
46	0.6697083333	0.705274306
47	0.6697083333	0.7024646335
48	0.6697083333	0.6998337709
49	0.6697083333	0.6973174918
50	0.6697083333	0.6949372869
51	0.6697083333	0.6926780387
52	0.6697083333	0.6905656976
53	0.6697083333	0.6885631785
54	0.6697083333	0.6866659372
55	0.6697083333	0.6848644407
56	0.6697083333	0.6831258269
57	0.6697083333	0.6815088035
58	0.6697083333	0.6799683262
59	0.6697083333	0.6785102743
60	0.6697083333	0.6771220065
61	0.6697083333	0.6758123404
62	0.6697083333	0.6745723873
63	0.6697083333	0.6733725425
64	0.6697083333	0.6722292818
65	0.6697083333	0.6711498778
66	0.6697083333	0.6701395355
67	0.6697083333	0.6691747125
68	0.6697083333	0.668264673
69	0.6697083333	0.66741271
70	0.6697083333	0.666579656
71	0.6697083333	0.6657923125
72	0.6697083333	0.6650365919
73	0.6697083333	0.6643219453
74	0.6697083333	0.6636478973
75	0.6697083333	0.6630172616
76	0.6697083333	0.6624038402
77	0.6697083333	0.6618258422
78	0.6697083333	0.6612629631
79	0.6697083333	0.6607481267
80	0.6697083333	0.6602265701
81	0.6697083333	0.6597515815
82	0.6697083333	0.6592987049
83	0.6697083333	0.6591563275
84	0.6697083333	0.6587308589
85	0.6697083333	0.6583233736
86	0.6697083333	0.6579403782
87	0.6697083333	0.6575646282
88	0.6697083333	0.6572215841
89	0.6697083333	0.6568931145
90	0.6697083333	0.6567999493
91	0.6697083333	0.6564862862
92	0.6697083333	0.6561892501
93	0.6697083333	0.655902152
94	0.6697083333	0.6556337644
95	0.6697083333	0.6553716641
96	0.6697083333	0.6551313754
97	0.6697083333	0.6548927933
98	0.6697083333	0.6546706097
99	0.6697083333	0.6544627428
100	0.6697083333	0.6544115823
101	0.6697083333	0.6541931988
102	0.6697083333	0.6539972081
103	0.6697083333	0.6538139756
104	0.6697083333	0.6537738455
105	0.6697083333	0.6536088699
106	0.6697083333	0.6534437759
107	0.6697083333	0.6534100604
108	0.6697083333	0.6532565212
109	0.6697083333	0.6531027458
110	0.6697083333	0.6529612813
111	0.6697083333	0.6528242066
112	0.6697083333	0.6526938803
113	0.6697083333	0.652565414
114	0.6697083333	0.6525416503
115	0.6697083333	0.6524246647
116	0.6697291667	0.6523115915
117	0.6697083333	0.6521978374
118	0.6697083333	0.6520945023
119	0.6697083333	0.6519927862
120	0.6697291667	0.6518966547
121	0.66975	0.6518053854
122	0.66975	0.6517231326
123	0.66975	0.6516436258
124	0.66975	0.6515700014
125	0.66975	0.6514917266
126	0.66975	0.6514191238
127	0.66975	0.651347751
128	0.66975	0.6513365825
129	0.66975	0.6512661874
130	0.66975	0.6512570646
131	0.66975	0.6512473113
132	0.66975	0.6511841808
133	0.66975	0.6511246795
134	0.66975	0.6510636473
135	0.66975	0.6510057611
136	0.66975	0.6509511253
137	0.66975	0.6508959919
138	0.6697708333	0.6508511661
139	0.6697708333	0.6508434389
140	0.6698333333	0.6507970197
141	0.6698333333	0.6507531442
142	0.6698333333	0.6507105838
143	0.6698333333	0.6506722405
144	0.6698333333	0.6506673258
145	0.6698333333	0.6506612819
146	0.6698333333	0.6506202028
147	0.6698333333	0.6505836096
148	0.6698333333	0.6505484466
149	0.6698333333	0.6505189822
150	0.6698333333	0.6504872653
151	0.6698333333	0.6504756908
152	0.6698333333	0.6504449901
153	0.6698333333	0.6504416044
154	0.6698333333	0.6504094623
155	0.6698333333	0.6503808832
156	0.6698333333	0.6503555636
157	0.6698333333	0.6503326441
158	0.6698333333	0.6503075465
159	0.6698333333	0.6502737277
160	0.6698333333	0.6502463811
161	0.6698333333	0.6502264097
162	0.6698333333	0.6502035475
163	0.6698333333	0.6501805944
164	0.6698333333	0.6501786011
165	0.6698333333	0.6501591712
166	0.6698333333	0.6501432226
167	0.6698333333	0.6501279644
168	0.6698333333	0.6501022203
169	0.6698333333	0.6500865044
170	0.6698333333	0.6500656562
171	0.6698333333	0.6500396574
172	0.6698333333	0.6500214026
173	0.6698333333	0.6500193634
174	0.6698333333	0.650013899
175	0.6698541667	0.6499930659
176	0.6698541667	0.6499766385
177	0.6698541667	0.6499609688
178	0.6698541667	0.6499477242
179	0.6698541667	0.6499366862
180	0.6698541667	0.64991637
181	0.6698541667	0.6499064019
182	0.6698541667	0.6498922193
183	0.6698541667	0.6498821414
184	0.6698541667	0.6498718475
185	0.6698541667	0.6498604581
186	0.6698541667	0.6498487014
187	0.6698541667	0.6498478763
188	0.6698541667	0.6498473433
189	0.6698333333	0.6498218809
190	0.6698333333	0.6498068512
191	0.6698333333	0.6497892229
192	0.6698333333	0.6497719629
193	0.6698333333	0.6497632197
194	0.6698333333	0.6497542642
195	0.6698333333	0.6497374953
196	0.6698333333	0.649719787
197	0.6698541667	0.6497100888
198	0.6698541667	0.6497030677
199	0.6698541667	0.6496863764
200	0.6698541667	0.6496779844
201	0.6698541667	0.6496769257
202	0.6698541667	0.6496711275
203	0.6698541667	0.6496652704
204	0.6698541667	0.6496567543
205	0.6698541667	0.6496413684
206	0.669875	0.6496253119
207	0.669875	0.6496190139
208	0.6698541667	0.6495977572
209	0.6698541667	0.6495905991
210	0.6698541667	0.6495769022
211	0.6698541667	0.6495614542
212	0.6698541667	0.6495497184
213	0.669875	0.6495368866
214	0.6698958333	0.6495215599
215	0.6698958333	0.6495061797
216	0.6698958333	0.6494887299
217	0.6699375	0.6494808311
218	0.6699375	0.649470553
219	0.6699375	0.6494637544
220	0.6699791667	0.6494395476
221	0.6699791667	0.6494331427
222	0.6699791667	0.6494223414
223	0.6699791667	0.6494010876
224	0.6699791667	0.6493870407
225	0.6700208333	0.6493768908
226	0.6700208333	0.6493663576
227	0.6700416667	0.6493478844
228	0.6700416667	0.6493393846
229	0.6700416667	0.6493331951
230	0.6700208333	0.6493206809
231	0.6700625	0.6492999869
232	0.6700625	0.6492828682
233	0.6700625	0.6492692448
234	0.6700833333	0.6492413056
235	0.6700833333	0.6492004315
236	0.6700833333	0.6491873833
237	0.6700833333	0.6491653792
238	0.6700833333	0.6491562716
239	0.6700833333	0.6491517662
240	0.6700625	0.6491416447
241	0.6700833333	0.6491177879
242	0.6700833333	0.6491108412
243	0.6700833333	0.6491015407
244	0.6700625	0.649092578
245	0.6700625	0.6490812212
246	0.6701041667	0.6490737355
247	0.6700625	0.6490620684
248	0.6700833333	0.6490505583
249	0.6700833333	0.6490412941
250	0.6700833333	0.649030944
251	0.6700833333	0.649012571
252	0.6701041667	0.6490027295
253	0.6701041667	0.6489954997
254	0.6701041667	0.648989045
255	0.6700833333	0.6489747392
256	0.6701041667	0.6489622714
257	0.6701041667	0.648951223
258	0.6701041667	0.6489338236
259	0.6701041667	0.6489033245
260	0.6701458333	0.6488808385
261	0.6701458333	0.6488726357
262	0.6701666667	0.6488544476
263	0.6701666667	0.6488430647
264	0.6701458333	0.6488373232
265	0.6701458333	0.6488281071
266	0.6701458333	0.6488264671
267	0.6701666667	0.6488216288
268	0.6701458333	0.6488172338
269	0.6701666667	0.6488049946
270	0.6702083333	0.6487955286
