iter	Passed	Remaining
0	110	54991
1	166	41572
2	185	30792
3	214	26537
4	237	23517
5	280	23121
6	295	20776
7	319	19638
8	331	18103
9	348	17093
10	366	16283
11	407	16559
12	441	16548
13	463	16081
14	475	15381
15	508	15375
16	540	15365
17	559	14986
18	591	14972
19	612	14696
20	625	14257
21	657	14285
22	671	13930
23	684	13573
24	696	13237
25	722	13162
26	739	12962
27	770	12996
28	784	12743
29	807	12652
30	820	12407
31	841	12305
32	873	12354
33	891	12223
34	909	12077
35	921	11877
36	949	11883
37	972	11819
38	1004	11870
39	1035	11908
40	1072	12009
41	1102	12022
42	1115	11858
43	1155	11973
44	1181	11945
45	1194	11785
46	1228	11842
47	1266	11925
48	1298	11954
49	1325	11931
50	1354	11924
51	1382	11911
52	1403	11837
53	1415	11693
54	1427	11550
55	1444	11451
56	1473	11449
57	1498	11421
58	1511	11297
59	1527	11204
60	1551	11166
61	1585	11202
62	1602	11115
63	1632	11121
64	1656	11087
65	1693	11133
66	1721	11127
67	1747	11098
68	1760	10994
69	1789	10990
70	1821	11003
71	1833	10899
72	1868	10931
73	1886	10862
74	1907	10811
75	1924	10737
76	1952	10726
77	1982	10727
78	2011	10718
79	2038	10700
80	2069	10706
81	2096	10688
82	2123	10669
83	2131	10554
84	2160	10548
85	2180	10497
86	2211	10497
87	2237	10476
88	2263	10453
89	2293	10447
90	2311	10386
91	2340	10378
92	2370	10372
93	2401	10371
94	2430	10362
95	2463	10367
96	2493	10358
97	2520	10338
98	2550	10330
99	2574	10296
100	2581	10198
101	2626	10248
102	2663	10264
103	2694	10258
104	2707	10184
105	2735	10167
106	2765	10155
107	2783	10102
108	2816	10101
109	2846	10092
110	2879	10090
111	2909	10080
112	2940	10069
113	2966	10044
114	2983	9987
115	3014	9977
116	3048	9980
117	3081	9975
118	3112	9965
119	3147	9968
120	3179	9960
121	3201	9917
122	3219	9868
123	3249	9854
124	3287	9862
125	3315	9840
126	3340	9810
127	3370	9794
128	3388	9744
129	3414	9717
130	3427	9655
131	3449	9617
132	3466	9564
133	3488	9528
134	3520	9517
135	3550	9501
136	3584	9498
137	3615	9484
138	3644	9464
139	3666	9426
140	3695	9410
141	3727	9396
142	3759	9386
143	3791	9372
144	3809	9326
145	3842	9316
146	3873	9300
147	3896	9268
148	3925	9247
149	3943	9200
150	3965	9166
151	3993	9141
152	4015	9107
153	4032	9060
154	4061	9039
155	4091	9022
156	4117	8995
157	4136	8952
158	4154	8909
159	4188	8901
160	4221	8888
161	4237	8841
162	4266	8821
163	4297	8804
164	4313	8758
165	4346	8745
166	4363	8700
167	4385	8666
168	4415	8647
169	4442	8623
170	4479	8619
171	4511	8602
172	4536	8575
173	4561	8546
174	4574	8496
175	4611	8488
176	4639	8466
177	4670	8448
178	4692	8414
179	4723	8397
180	4750	8371
181	4782	8356
182	4812	8335
183	4842	8317
184	4874	8299
185	4909	8287
186	4940	8269
187	4953	8221
188	4966	8173
189	4995	8150
190	5027	8133
191	5059	8115
192	5098	8110
193	5123	8081
194	5160	8071
195	5188	8047
196	5220	8029
197	5250	8008
198	5262	7959
199	5290	7935
200	5315	7907
201	5329	7862
202	5367	7852
203	5398	7833
204	5432	7817
205	5464	7798
206	5498	7783
207	5530	7763
208	5559	7741
209	5582	7709
210	5611	7685
211	5639	7661
212	5671	7641
213	5701	7620
214	5736	7604
215	5767	7583
216	5799	7563
217	5830	7542
218	5859	7518
219	5895	7502
220	5924	7479
221	5954	7456
222	5985	7435
223	6016	7413
224	6045	7388
225	6073	7362
226	6107	7344
227	6140	7325
228	6172	7304
229	6205	7284
230	6237	7263
231	6267	7240
232	6299	7219
233	6329	7194
234	6360	7172
235	6391	7149
236	6420	7125
237	6450	7101
238	6485	7082
239	6516	7059
240	6544	7032
241	6575	7009
242	6605	6985
243	6640	6966
244	6674	6947
245	6703	6921
246	6737	6900
247	6766	6876
248	6796	6850
249	6823	6823
250	6856	6801
251	6891	6781
252	6925	6761
253	6952	6733
254	6982	6708
255	7015	6687
256	7050	6666
257	7084	6645
258	7114	6620
259	7147	6598
260	7177	6572
261	7208	6548
262	7236	6520
263	7267	6496
264	7296	6470
265	7331	6449
266	7361	6423
267	7394	6401
268	7426	6377
269	7457	6352
270	7489	6328
271	7517	6301
272	7548	6276
273	7586	6257
274	7618	6232
275	7652	6210
276	7682	6184
277	7712	6158
278	7743	6133
