Número do processo,UF,Assunto,Sub-assunto,Resultado macro,Resultado micro,Valor da causa,Valor da condenação/indenização
1764352-89.2025.8.06.1818,CE,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"13.534,00","7.714,38"
5638325-36.2025.8.17.4124,PE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"7.883,63","3.784,14"
1037491-89.2025.8.18.1658,PI,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"8.561,97","6.507,10"
9547931-23.2025.8.04.4188,AM,Não reconhece operação,Golpe,Êxito,Improcedência,"5.693,13","0,00"
9999446-69.2025.8.04.4264,AM,Não reconhece operação,Golpe,Êxito,Improcedência,"8.515,67","0,00"
2412149-28.2025.8.24.1145,SC,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"16.961,06","12.720,80"
8874499-95.2025.8.07.3223,DF,Não reconhece operação,Golpe,Não Êxito,Procedência,"11.180,00","11.180,00"
1917160-43.2025.8.07.3360,DF,Não reconhece operação,Golpe,Êxito,Extinção,"20.060,40","0,00"
6064536-08.2025.8.05.2439,BA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"16.021,50","9.773,12"
1921027-43.2025.8.15.3964,PB,Não reconhece operação,Golpe,Êxito,Extinção,"16.520,52","0,00"
6140081-15.2025.8.25.2962,SE,Não reconhece operação,Golpe,Êxito,Improcedência,"22.470,81","0,00"
4240001-27.2025.8.10.0476,MA,Não reconhece operação,Golpe,Êxito,Improcedência,"8.658,46","0,00"
4060328-48.2025.8.03.5952,AP,Não reconhece operação,Genérico,Não Êxito,Procedência,"18.988,78","17.089,90"
3958810-04.2025.8.11.6659,MT,Não reconhece operação,Genérico,Êxito,Improcedência,"25.650,47","0,00"
7535845-01.2025.8.20.6188,RN,Não reconhece operação,Golpe,Êxito,Improcedência,"11.076,15","0,00"
9250401-05.2025.8.12.3576,MS,Não reconhece operação,Golpe,Êxito,Extinção,"17.479,14","0,00"
2778665-68.2025.8.14.3195,PA,Não reconhece operação,Golpe,Êxito,Improcedência,"15.764,10","0,00"
2401594-98.2025.8.21.9938,RS,Não reconhece operação,Golpe,Êxito,Improcedência,"9.778,55","0,00"
6418008-51.2025.8.09.7653,GO,Não reconhece operação,Golpe,Êxito,Extinção,"8.769,47","0,00"
6088311-10.2025.8.15.8003,PB,Não reconhece operação,Golpe,Êxito,Extinção,"5.783,48","0,00"
1768099-89.2025.8.12.6388,MS,Não reconhece operação,Golpe,Êxito,Extinção,"11.662,60","0,00"
2716081-88.2025.8.19.8813,RJ,Não reconhece operação,Golpe,Êxito,Extinção,"15.641,33","0,00"
1996289-38.2025.8.13.1427,MG,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"22.052,77","11.246,91"
6525750-71.2025.8.07.2464,DF,Não reconhece operação,Golpe,Êxito,Improcedência,"22.474,21","0,00"
2933175-05.2025.8.14.8934,PA,Não reconhece operação,Genérico,Êxito,Extinção,"21.135,98","0,00"
8242761-70.2025.8.25.4530,SE,Não reconhece operação,Golpe,Não Êxito,Procedência,"19.419,34","16.700,63"
5764134-07.2025.8.09.1923,GO,Não reconhece operação,Golpe,Não Êxito,Procedência,"13.427,87","11.413,69"
2745205-35.2025.8.02.4268,AL,Não reconhece operação,Golpe,Não Êxito,Procedência,"10.689,49","10.048,12"
4457574-26.2025.8.25.5559,SE,Não reconhece operação,Genérico,Êxito,Improcedência,"15.826,02","0,00"
2521217-81.2025.8.07.5399,DF,Não reconhece operação,Genérico,Êxito,Extinção,"6.820,07","0,00"
5899277-63.2025.8.24.0095,SC,Não reconhece operação,Golpe,Não Êxito,Acordo,"12.747,70","4.716,65"
4937049-13.2025.8.04.5655,AM,Não reconhece operação,Golpe,Não Êxito,Procedência,"25.663,74","23.354,00"
5250775-41.2025.8.21.7819,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"11.450,14","8.129,60"
6004002-19.2025.8.11.3369,MT,Não reconhece operação,Genérico,Êxito,Extinção,"16.024,55","0,00"
8275953-90.2025.8.22.5835,RO,Não reconhece operação,Genérico,Êxito,Extinção,"11.071,57","0,00"
8968643-90.2025.8.17.4196,PE,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"9.593,10","5.180,27"
3560488-21.2025.8.20.3063,RN,Não reconhece operação,Genérico,Êxito,Improcedência,"15.421,07","0,00"
6499469-09.2025.8.12.9260,MS,Não reconhece operação,Genérico,Êxito,Improcedência,"18.043,36","0,00"
8355122-71.2025.8.09.1223,GO,Não reconhece operação,Golpe,Êxito,Extinção,"17.755,54","0,00"
7893459-62.2025.8.03.6963,AP,Não reconhece operação,Golpe,Êxito,Improcedência,"10.382,46","0,00"
1692558-47.2025.8.22.3884,RO,Não reconhece operação,Genérico,Êxito,Improcedência,"11.237,10","0,00"
7993277-24.2025.8.12.8327,MS,Não reconhece operação,Golpe,Êxito,Improcedência,"15.811,60","0,00"
